gene,log2FoldChange,pvalue,padj
Fkrp,-0.050354376,0.008897273,0.013623868
Gm20208,0.180048605,0.008897382,0.013623868
Ccdc69,0.186355964,0.008921084,0.01365872
Plekhj1,-0.06750909,0.00892173,0.01365872
Larp4b,-0.052129142,0.008923097,0.013659599
Adsl,0.051710797,0.008934967,0.01367635
Tmem198,-0.072231256,0.008935628,0.01367635
Mt2,0.19452254,0.008944001,0.013687947
Gm20796,-0.21079012,0.008948251,0.013693234
Armcx4,-0.079356664,0.008966022,0.01371921
Skp1,-0.056308797,0.008996387,0.013764448
Ndufs6b,-0.107832622,0.00900727,0.013779874
Sts,0.194435468,0.009014278,0.01378937
Gm5452,-0.18872754,0.009086318,0.013898337
Ddx39b,0.049009259,0.009117964,0.013945503
Sec61a2,-0.056459514,0.009121786,0.013950109
Gm12251,-0.066110512,0.009124186,0.013952539
Slc16a6,0.151583947,0.009135117,0.013968015
Timm8b,-0.064713784,0.009145421,0.013982528
Snrpg,0.08242406,0.009162798,0.014007852
